YY,MM,RR
1961,8,2.6377358491
1961,8,2.1377358491
1961,8,27.8377358491
1961,8,2.9377358491
1961,8,3.6377358491
1961,8,-2.1622641509
1961,8,2.6377358491
1961,8,3.4377358491
1961,8,4.4377358491
1961,8,-3.9622641509
1961,8,16.8377358491
1961,8,-0.9622641509
1961,8,11.5377358491
1961,8,4.9377358491
1961,8,2.4377358491
1961,8,7.9377358491
1961,8,7.7377358491
1961,8,123.0377358491
1961,8,96.3377358491
1961,8,52.4377358491
1961,8,2.1377358491
1961,8,24.4377358491
1961,8,80.6377358491
1961,8,29.3377358491
1961,8,2.4377358491
1961,8,1.1377358491
1961,9,26.5377358491
1961,9,0.6377358491
1961,9,0.1377358491
1961,9,15.3377358491
1961,9,35.6377358491
1961,9,23.2377358491
1961,9,3.9377358491
1961,9,-0.3622641509
1961,9,-0.6622641509
1961,9,5.7377358491
1961,9,6.7377358491
1961,9,-2.6622641509
1961,9,55.7377358491
1961,9,47.6377358491
1961,9,61.8377358491
1961,9,24.7377358491
1961,9,9.2377358491
1961,9,-1.1622641509
1961,9,28.5377358491
1961,9,6.7377358491
1961,9,53.2377358491
1961,9,-1.4622641509
1961,9,-3.9622641509
1961,9,-3.9622641509
1961,9,25.5377358491
1961,9,-3.9622641509
1961,9,-3.9622641509
1961,9,2.6377358491
1961,9,27.2377358491
1961,9,7.7377358491
1962,5,4.1377358491
1962,5,-3.9622641509
1962,5,-2.9622641509
1962,5,13.3377358491
1962,5,-3.9622641509
1962,5,-3.9622641509
1962,5,-1.1622641509
1962,5,9.0377358491
1962,5,-3.9622641509
1962,5,10.5377358491
1962,5,-3.9622641509
1962,5,-3.9622641509
1962,5,-3.9622641509
1962,5,-3.9622641509
1962,5,-3.9622641509
1962,5,-3.9622641509
1962,5,-3.9622641509
1962,5,15.3377358491
1962,5,-0.9622641509
1962,5,-3.9622641509
1962,5,-3.9622641509
1962,5,138.0377358491
1962,5,-3.9622641509
1962,5,3.6377358491
1962,5,-2.6622641509
1962,5,-3.9622641509
1962,5,-0.1622641509
1962,5,18.1377358491
1962,5,3.9377358491
1962,5,-3.6622641509
1962,5,-3.9622641509
1962,6,-3.9622641509
1962,6,-3.4622641509
1962,6,8.2377358491
1962,6,25.5377358491
1962,6,-2.6622641509
1962,6,-3.9622641509
1962,6,-2.6622641509
1962,6,-3.6622641509
1962,6,7.9377358491
1962,6,10.2377358491
1962,6,-3.6622641509
1962,6,-1.6622641509
1962,6,-1.1622641509
1962,6,3.6377358491
1962,6,11.7377358491
1962,6,5.7377358491
1962,6,-2.9622641509
1962,6,-3.9622641509
1962,6,-3.9622641509
1962,6,-3.9622641509
1962,6,2.1377358491
1962,6,31.6377358491
1962,6,-3.9622641509
1962,6,-0.1622641509
1962,6,-3.9622641509
1962,6,-3.1622641509
1962,6,-3.9622641509
1962,6,9.0377358491
1962,6,11.2377358491
1962,6,-3.9622641509
1962,7,31.3377358491
1962,7,9.0377358491
1962,7,-0.6622641509
1962,7,37.9377358491
1962,7,-3.9622641509
1962,7,-2.9622641509
1962,7,29.8377358491
1962,7,-1.4622641509
1962,7,0.6377358491
1962,7,-2.6622641509
1962,7,-3.6622641509
1962,7,11.0377358491
1962,7,17.6377358491
1962,7,-1.1622641509
1962,7,-3.9622641509
1962,7,3.4377358491
1962,7,8.4377358491
1962,7,23.9377358491
1962,7,255.1377358491
1962,7,273.9377358491
1962,7,141.5377358491
1962,7,154.0377358491
1962,7,71.2377358491
1962,7,1.6377358491
1962,7,16.3377358491
1962,7,-2.1622641509
1962,7,6.2377358491
1962,7,29.8377358491
1962,7,0.1377358491
1962,7,5.1377358491
1962,7,20.6377358491
1962,8,126.8377358491
1962,8,1.6377358491
1962,8,5.1377358491
1962,8,9.2377358491
1962,8,21.4377358491
1962,8,-1.9622641509
1962,8,-0.6622641509
1962,8,1.1377358491
1962,8,1.3377358491
1962,8,2.4377358491
1962,8,2.4377358491
1962,8,13.0377358491
1962,8,-1.9622641509
1962,8,13.5377358491
1962,8,-3.6622641509
1962,8,-0.3622641509
1962,8,-0.3622641509
1962,8,10.2377358491
1962,8,6.7377358491
1962,8,3.4377358491
1962,8,11.0377358491
1962,8,-3.9622641509
1962,8,-3.9622641509
1962,8,-3.9622641509
1962,8,16.6377358491
1962,8,-3.6622641509
1962,8,-3.6622641509
1962,8,-1.9622641509
1962,8,47.1377358491
1962,8,305.6377358491
1962,8,2.6377358491
1962,9,-3.9622641509
1962,9,59.2377358491
1962,9,155.0377358491
1962,9,227.4377358491
1962,9,85.4377358491
1962,9,70.2377358491
1962,9,-2.4622641509
1962,9,6.4377358491
1962,9,-3.9622641509
1962,9,-3.9622641509
1962,9,-3.9622641509
1962,9,-3.9622641509
1962,9,-2.1622641509
1962,9,7.2377358491
1962,9,-2.4622641509
1962,9,-3.6622641509
1962,9,11.7377358491
1962,9,12.0377358491
1962,9,29.0377358491
1962,9,-3.4622641509
1962,9,3.6377358491
1962,9,-1.4622641509
1962,9,4.9377358491
1962,9,6.2377358491
1962,9,4.1377358491
1962,9,14.5377358491
1962,9,4.6377358491
1962,9,0.6377358491
1962,9,35.1377358491
1962,9,11.5377358491
1963,5,-3.9622641509
1963,5,-3.9622641509
1963,5,-3.9622641509
1963,5,-3.9622641509
1963,5,-3.9622641509
1963,5,-3.9622641509
1963,5,-3.9622641509
1963,5,-3.9622641509
1963,5,-3.9622641509
1963,5,-3.9622641509
1963,5,0.8377358491
1963,5,30.3377358491
1963,5,-3.9622641509
1963,5,12.5377358491
1963,5,-3.9622641509
1963,5,-3.9622641509
1963,5,-3.9622641509
1963,5,1.6377358491
1963,5,-1.6622641509
1963,5,-2.4622641509
1963,5,-3.9622641509
1963,5,17.6377358491
1963,5,-3.6622641509
1963,5,-3.9622641509
1963,5,8.4377358491
1963,5,-3.6622641509
1963,5,8.4377358491
1963,5,1.6377358491
1963,5,1.6377358491
1963,5,-2.1622641509
